CamB        S   20.10  13.85   6.85  10.08 5.35E+07  0.86 1.23E+09
D512-2      S   37.20  16.34  24.04  11.80 2.70E+08  1.94 8.50E+09
D564-8      S   25.00   9.24  11.17   6.66 5.51E+07  1.50 2.43E+09
D631-7      S   58.50  24.51  29.50  23.54 4.84E+08  2.03 3.55E+10
DDO064      S   46.90  25.29  36.67  16.28 3.59E+08  1.86 1.76E+10
DDO154      S   48.20  18.73  27.37  13.90 3.92E+08  2.71 1.92E+10
DDO161      S   67.50  35.35  32.14  25.01 2.11E+09  5.59 5.58E+10
DDO168      S   55.00  25.90  35.00  23.08 6.45E+08  2.12 2.92E+10
ESO079-G014 S  178.00 100.77 109.73  64.21 3.00E+10  9.46 1.21E+12
ESO116-G012 S  112.00  52.33  83.47  47.73 3.59E+09  4.07 2.78E+11
ESO444-G084 S   63.10  21.89  52.73  21.31 2.15E+08  1.38 4.51E+10
ESO563-G021 S  321.00 200.92 286.19 176.36 1.88E+11 12.00 7.95E+12
F565-V2     S   83.10  30.16  38.28  15.53 1.21E+09  6.13 1.08E+11
F568-3      S  120.00  52.15  66.15  29.09 8.42E+09 10.60 3.46E+11
F568-V1     S  118.00  44.75  91.59  28.75 5.23E+09  9.82 3.28E+11
F571-8      S  144.00  81.10  93.14  70.96 7.45E+09  2.04 6.18E+11
F574-1      S   99.70  46.48  68.23  29.70 7.96E+09  8.73 1.92E+11
F583-1      S   86.90  41.35  44.55  13.55 3.32E+09 10.70 1.24E+11
F583-4      S   69.90  31.15  43.05  23.48 1.71E+09  4.12 6.23E+10
IC2574      S   67.50  32.02  19.54  12.57 1.89E+09  7.24 5.58E+10
IC4202      S  250.00 181.45 231.32 165.39 1.06E+11  9.07 3.58E+12
KK98-251    S   34.60  20.25  16.35  10.59 1.95E+08  1.83 6.76E+09
NGC 0024    S  110.00  52.54 106.73  51.90 2.84E+09  2.53 2.62E+11
NGC 0055    S   87.40  50.19  43.53  33.96 4.40E+09  6.74 1.26E+11
NGC 0100    S   91.20  40.75  56.83  36.27 4.26E+09  3.72 1.45E+11
NGC 0247    S  108.00  53.09  66.63  29.91 5.99E+09  8.02 2.48E+11
NGC 0289    S  194.00 160.25 174.05 156.00 7.26E+10 16.54 1.60E+12
NGC 0300    S   97.00  41.87  66.19  35.13 2.71E+09  4.56 1.76E+11
NGC 0801    S  238.00 199.22 233.82 195.75 1.87E+11 15.86 3.06E+12
NGC 0891    S  234.00 265.08 224.00 214.65 7.51E+10  2.79 2.90E+12
NGC 1003    S  115.00  59.35  74.39  55.38 1.12E+10 12.36 3.02E+11
NGC 1090    S  176.00 121.39 154.59 108.35 4.77E+10  8.68 1.17E+12
NGC 1705    S   73.20  35.42  72.84  29.77 4.51E+08  0.95 7.21E+10
NGC 2366    S   53.70  28.57  32.98  20.62 9.79E+08  3.25 2.71E+10
NGC 2403    S  136.00  75.85 117.48  75.48 9.28E+09  5.07 5.15E+11
NGC 2683    S  212.00 171.90 211.40 169.48 4.21E+10  3.45 2.12E+12
NGC 2841    S  323.00 231.30 322.93 214.81 1.07E+11  7.98 8.11E+12
NGC 2903    S  216.00 213.11 207.86 176.97 4.43E+10  2.58 2.25E+12
NGC 2915    S   86.50  35.40  77.83  27.64 9.96E+08  4.97 1.22E+11
NGC 2955    S  276.00 252.60 245.59 246.68 1.98E+11  8.12 4.91E+12
NGC 2998    S  214.00 157.58 204.14 150.74 1.07E+11 11.13 2.18E+12
NGC 3109    S   67.30  21.72  36.06  15.30 7.31E+08  3.92 5.52E+10
NGC 3198    S  157.00 101.32 118.91  85.11 3.36E+10 10.54 8.13E+11
NGC 3521    S  220.00 200.33 214.79 174.16 4.79E+10  2.99 2.38E+12
NGC 3726    S  169.00 131.38 119.56 111.65 4.37E+10  6.73 1.03E+12
NGC 3741    S   51.60  14.28  27.05  11.19 2.56E+08  3.79 2.39E+10
NGC 3769    S  126.00  98.81 106.57  98.43 1.67E+10  4.28 4.04E+11
NGC 3877    S  171.00 145.67 157.15 109.76 3.82E+10  6.22 1.07E+12
NGC 3893    S  194.00 152.06 193.30 149.89 3.70E+10  3.83 1.60E+12
NGC 3917    S  138.00  80.96 104.05  57.20 1.35E+10  6.35 5.40E+11
NGC 3953    S  224.00 176.03 211.67 159.61 7.44E+10  7.33 2.52E+12
NGC 3972    S  134.00  79.21 105.02  62.09 8.79E+09  4.75 4.91E+11
NGC 4010    S  129.00  77.65  86.12  68.91 1.24E+10  5.15 4.35E+11
NGC 4013    S  198.00 166.75 197.26 161.12 4.35E+10  5.49 1.70E+12
NGC 4051    S  161.00 141.36 131.17 103.88 5.12E+10  6.35 8.81E+11
NGC 4088    S  182.00 189.42 161.40 170.20 6.46E+10  5.21 1.30E+12
NGC 4100    S  195.00 147.99 185.05 132.10 3.38E+10  5.13 1.62E+12
NGC 4138    S  195.00 171.38 193.22 142.04 2.40E+10  2.61 1.62E+12
NGC 4157    S  201.00 182.02 194.60 174.37 6.38E+10  4.96 1.79E+12
NGC 4183    S  115.00  66.98  83.39  43.71 1.01E+10  7.10 3.02E+11
NGC 4217    S  191.00 234.50 177.25 205.45 4.61E+10  2.69 1.52E+12
NGC 4559    S  124.00  83.97  98.55  78.38 1.74E+10  7.55 3.84E+11
NGC 5033    S  225.00 241.63 224.72 185.97 7.03E+10  3.56 2.56E+12
NGC 5055    S  206.00 198.71 201.57 196.38 9.21E+10  5.53 1.93E+12
NGC 5371    S  242.00 213.77 214.79 173.23 1.85E+11 11.10 3.23E+12
NGC 5585    S   92.30  44.82  62.65  40.75 3.71E+09  4.59 1.50E+11
NGC 5907    S  235.00 165.49 218.01 139.96 1.16E+11 11.24 2.94E+12
NGC 5985    S  305.00 165.00 288.80 140.14 1.20E+11 12.81 6.75E+12
NGC 6015    S  166.00 106.26 151.16 106.20 2.38E+10  5.11 9.71E+11
NGC 6195    S  258.00 235.77 233.45 235.70 2.23E+11 10.62 3.96E+12
NGC 6503    S  121.00 101.33 119.67  91.08 8.74E+09  2.16 3.55E+11
NGC 6674    S  291.00 177.58 285.98 175.67 1.50E+11 10.19 5.81E+12
NGC 6946    S  181.00 195.85 176.12 149.58 4.06E+10  4.39 1.28E+12
NGC 7331    S  257.00 275.82 257.00 255.45 1.40E+11  4.40 3.91E+12
NGC 7793    S  116.00  72.47 102.82  72.45 4.67E+09  2.55 3.11E+11
NGC 7814    S  265.00 290.19 226.72 163.25 3.87E+10  1.66 4.31E+12
PGC51017    S   20.50  18.81  20.27  12.47 3.45E+08  1.58 1.31E+09
UGC00128    S  134.00  55.39  78.98  35.06 1.59E+10 18.83 4.91E+11
UGC00191    S   83.85  42.19  71.49  30.11 2.79E+09  5.41 1.11E+11
UGC00731    S   74.00  37.19  46.52  10.43 2.56E+09  7.30 7.46E+10
