# Galaxy: ESO116-G012
# Distance: 13.00 Mpc
# Source: SPARC (Lelli et al. 2016)
# Data: Real observational rotation curves
# Columns: Rad Vobs errV Vgas Vdisk Vbul SBdisk SBbul
# Units: kpc km/s km/s km/s km/s km/s L_☉/pc² L_☉/pc²
# Note: Vdisk, Vbul for M/L=1 at 3.6μm
   0.250    20.90    3.40    -0.22    17.33     0.00     276.94       0.00
   0.830    40.00    3.29    -1.80    34.96     0.00     168.99       0.00
   1.380    51.50    2.96    -1.55    51.34     0.00     141.01       0.00
   1.850    67.90    3.45     5.01    61.73     0.00      81.24       0.00
   2.680    80.20    2.93    12.54    60.49     0.00      46.01       0.00
   3.190    83.30    3.08    16.68    63.17     0.00      41.40       0.00
   3.680    91.40    2.83    20.19    65.14     0.00      30.23       0.00
   4.130   102.00    5.40    22.31    66.32     0.00      24.20       0.00
   5.230   105.00    4.21    25.63    64.52     0.00       9.48       0.00
   6.050   109.00    2.10    27.28    60.09     0.00       3.57       0.00
   6.810   108.00    2.10    28.58    55.74     0.00       2.78       0.00
   7.560   109.00    2.10    30.70    53.61     0.00       2.04       0.00
   8.320   110.00    2.10    33.83    51.18     0.00       1.21       0.00
   9.090   111.00    2.33    35.49    49.08     0.00       0.72       0.00
   9.860   112.00    4.74    33.74    46.34     0.00       0.00       0.00
